,Age Group,Sex,Year,Count
Prostate,85+,M,2011.0,81.0
Urinary System,55-59,M,2011.0,26.0
Urinary System,60-64,M,2008.0,17.0
Urinary System,60-64,M,2009.0,23.0
Urinary System,60-64,M,2011.0,27.0
Urinary System,65-69,M,2009.0,25.0
Urinary System,65-69,M,2010.0,24.0
Urinary System,65-69,M,2011.0,19.0
Urinary System,70-74,M,2009.0,23.0
Urinary System,70-74,M,2011.0,20.0
Urinary System,75-79,M,2007.0,17.0
Urinary System,75-79,M,2009.0,20.0
Urinary System,75-79,M,2010.0,22.0
Urinary System,75-79,M,2011.0,18.0
Urinary System,80-84,M,2007.0,16.0
Urinary System,80-84,M,2011.0,21.0
Urinary System,85+,M,2010.0,18.0
"Urinary Bladder, invasive and in situ",55-59,M,2011.0,18.0
"Urinary Bladder, invasive and in situ",60-64,M,2009.0,20.0
"Urinary Bladder, invasive and in situ",60-64,M,2011.0,20.0
"Urinary Bladder, invasive and in situ",65-69,M,2009.0,22.0
"Urinary Bladder, invasive and in situ",65-69,M,2010.0,20.0
"Urinary Bladder, invasive and in situ",65-69,M,2011.0,17.0
"Urinary Bladder, invasive and in situ",70-74,M,2009.0,20.0
"Urinary Bladder, invasive and in situ",70-74,M,2011.0,19.0
"Urinary Bladder, invasive and in situ",75-79,M,2009.0,19.0
"Urinary Bladder, invasive and in situ",75-79,M,2010.0,20.0
"Urinary Bladder, invasive and in situ",75-79,M,2011.0,17.0
"Urinary Bladder, invasive and in situ",80-84,M,2011.0,20.0
"Urinary Bladder, invasive and in situ",85+,M,2010.0,17.0
Lymphomas,50-54,M,2009.0,17.0
Lymphomas,65-69,M,2010.0,27.0
Non-Hodgkin Lymphoma,65-69,M,2010.0,27.0
Leukemias,55-59,M,2009.0,17.0
Leukemias,65-69,M,2010.0,16.0
In Situ Breast Cancer,45-49,F,2008.0,16.0
In Situ Breast Cancer,50-54,F,2009.0,16.0
In Situ Breast Cancer,50-54,F,2010.0,18.0
In Situ Breast Cancer,55-59,F,2009.0,18.0
In Situ Breast Cancer,60-64,F,2011.0,18.0
In Situ Breast Cancer,65-69,F,2009.0,16.0
"Female Breast, In Situ",45-49,F,2008.0,16.0
"Female Breast, In Situ",50-54,F,2009.0,16.0
"Female Breast, In Situ",50-54,F,2010.0,18.0
"Female Breast, In Situ",55-59,F,2009.0,18.0
"Female Breast, In Situ",60-64,F,2011.0,18.0
"Female Breast, In Situ",65-69,F,2009.0,16.0
